SMILES;toxicant;SMR_VSA4;fr_pyridine;fr_lactam;EState_VSA6;EState_VSA7;fr_thiazole;PEOE_VSA9;fr_azo;fr_HOCCN;fr_Ndealkylation1;qed;fr_unbrch_alkane;PEOE_VSA8;fr_furan;fr_ArN;FpDensityMorgan2;fr_para_hydroxylation;EState_VSA3;MinAbsPartialCharge;GATS3se;ATSC8i;GATS4d;ATSC7c;GATS7d;ATSC4s;MATS3Z;MATS2i
COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1;1;0.0;0;0;11.761884949391115;36.39820241076966;0;18.143198976510057;0;0;0;0.7695961013290724;0;9.79096695103555;0;0;2.0;0;5.948339280986494;0.4131899633782256;0.9729154647350594;-14.730280920076392;1.0691341307455051;-0.0351152420199108;1.1711238997968856;3.252182209121845;-0.2080985574595798;0.2697666969107807
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O;1;22.93466990864874;0;0;0.0;0.0;0;18.69056362280884;0;0;0;0.1130637940445751;0;12.586597235060536;0;0;1.45;0;0.0;0.2486996634216957;0.9244066480924996;-17.114730343449217;1.0983516312477373;-0.2122294926748142;1.224733545713933;-28.485653457202307;0.0650905475659516;-0.1750196344667781
CN(C)C(=O)N(C)C;1;0.0;0;0;28.19068793070876;0.0;0;0.0;0;0;0;0.4441296979108746;0;28.19068793070876;0;0;1.25;0;0.0;0.3184546747602438;0.9178983097620234;0.0;0.9718670076726342;0.0;0;-35.81555555555556;-0.2158176943699731;0.8795696211066815
O=C(O)C(S)C(S)C(=O)O;1;0.0;0;0;0.0;0.0;0;0.0;0;0;0;0.454109848321836;0;0.0;0;0;1.2;0;0.0;0.3176087494329241;1.0412149376588775;0.0;0.7142857142857142;0.087800794440643;0.0;-59.16598079561044;0.1379181090556303;-0.0704827448780575
CC(=O)C1(O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C;1;40.419511169600526;0;0;0.0;6.076020106833881;0;0.0;0;0;0;0.7532215562878001;0;21.78017333706855;0;0;1.8846153846153848;0;18.2566337152488;0.1613455294760449;0.8466441257260741;-10.380665704595048;1.0113564326563544;0.023449437941951;1.0229788566953797;-39.11410614718006;-0.0220171210272616;0.077598801089454
Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O;1;0.0;0;0;10.966276799312087;19.056471336613843;0;0.0;0;0;0;0.7560450175626747;0;18.52902952053558;0;0;2.0526315789473686;0;18.52902952053558;0.2546967791827952;0.97211495382153;8.072858860447724;1.0765171503957784;0.0988020298144183;0.8562005277044856;-9.3361391694725;-0.0933498932065185;0.0356262680560277
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F;1;0.0;0;0;0.0;0.0;0;13.08951281182515;0;0;0;0.7515159753061997;0;11.629818560158606;0;0;1.5909090909090908;0;0.0;0.1372548563620827;1.1571720899847948;-2.8216350858315646;1.1919020542920031;0.0151246914252559;0.6012623054938077;59.369070790080734;-0.3224040773841571;0.0122271233250235
O=NN1CCNC1=S;1;5.2858847209627084;0;0;0.0;0.0;0;11.830641126875284;0;0;0;0.3970792878108005;0;6.544756405912575;0;0;2.625;0;11.657193290637334;0.1918677367803178;0.8062241117079803;0.0;0.3027950310559006;0.0;0;-11.205505637129567;0.083676268861454;-0.2628932067228311
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C;1;28.58369907727774;0;0;19.075777413358384;6.076020106833881;0;0.0;0;0;0;0.6365423368760819;0;22.786004490597783;0;0;1.821428571428572;0;17.371014021201;0.3031419091022152;0.9739871458834044;9.848463069770784;1.188211237553343;0.0867857937189785;0.7503919268008912;-15.49357392039865;-0.0703887551046569;0.0983080214978912
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1;1;0.0;0;0;6.923737199690624;54.59730361615449;0;13.151638370425491;0;0;0;0.7938096615427636;0;0.0;0;0;1.5909090909090908;1;25.508032168222314;0.406734524982305;1.447541638736767;14.687443645816074;1.29981884057971;-0.0367040500141904;0.8820199275362317;-24.623653248727607;-0.0166271580642275;-0.0350102449462626
CN(N=O)C(N)=O;1;11.019552198124892;0;0;0.0;0.0;0;5.2858847209627084;0;0;0;0.3643653082461049;0;7.04767198267719;0;0;2.2857142857142856;0;5.008912523954532;0.3370252797101017;1.2751768446011893;0.0;0.1060240963855422;0.0;0;-23.71064814814815;-0.3405963302752293;0.0954621376134527
O=C(O)C(Cl)(Cl)Cl;1;0.0;0;0;0.0;0.0;0;0.0;0;0;0;0.5487853049557158;0;0.0;0;0;1.5714285714285714;0;0.0;0.3556107606824946;0.4154534055711828;0.0;0.0;0.0;0;6.186368044838819;-0.1119402985074626;-0.4507733799424216
Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-];1;0.0;0;0;20.771211599071872;0.0;0;14.769933146453011;0;0;0;0.6208885983122052;0;5.41499046939678;0;0;1.0;0;0.0;0.2582848692275067;0.555038287186986;9.01962663093571;1.493442943824623;0.0482698820351387;0.2374893977947413;20.26432291666669;-0.0738665308201731;0.1911616114543379
CCCCCC(O)C=CC1OC2CC(O2)C1CC=CCCCC(=O)O;1;5.917906046161393;0;0;0.0;18.228060320501644;0;18.31189916324491;0;0;0;0.4124548978432446;3;18.75954929201341;0;0;2.04;0;6.4208216229260096;0.3028511139961322;0.9922854928563914;0.1602702652373623;0.9512020685481652;0.1042058688224621;1.1330169161494463;-13.680551280735948;-0.034076184464084;-0.1932197196746279
